,x,y,z,num_sites,mollusc_cereum_bullet,mollusc_flavum_bullet,mollusc_lividum_bullet,mollusc_rubeum_bullet,mollusc_viride_bullet,mollusc_albulus_bell,lagrange_cloud_caeruleum,lagrange_cloud_croceum,lagrange_cloud_luteolum,lagrange_cloud_proto,lagrange_cloud_roseum,lagrange_cloud_rubicundum,lagrange_cloud_viride,ice_crystal_albidum,ice_crystal_flavum,ice_crystal_lindigoticum,ice_crystal_prasinum,ice_crystal_purpureum,ice_crystal_roseum,ice_crystal_rubeum,metallic_crystal_albidum,metallic_crystal_flavum,metallic_crystal_lindigoticum,metallic_crystal_prasinum,metallic_crystal_purpureum,metallic_crystal_roseum,metallic_crystal_rubeum,silicate_crystal_albidum,silicate_crystal_flavum,silicate_crystal_lindigoticum,silicate_crystal_prasinum,silicate_crystal_purpureum,silicate_crystal_roseum,silicate_crystal_rubeum,silicate_crystal_solid spheres,solid_mineral_solid spheres,added_by,mollusc,lagrange_cloud,ice_crystal,metallic_crystal,silicate_crystal,solid_mineral
DROKOE NU-D D13-11,14750.40625,-238.875,3958.5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,Lividum Bullet,,Crystal Prasinum,Crystal Prasinum,,
DROKOE NU-D D13-10,14747.8125,-243.15625,3946.53125,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE NU-D D13-12,14749.78125,-232.09375,3967.8125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE NU-I C12-1,-1.0,-1.0,-1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE NV-G C13-1,14616.88,-144.13,3342.72,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,ADM INFWHALE,"Flavum Bullet, Viride Bullet",Cloud Proto,Crystal Roseum,,"Crystal Albidum, Crystal Lindigoticum, Crystal Rubeum",
DROKOE NV-G C13-2,14651.91,-143.16,3369.28,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE NV-O C22-0,14938.1875,-219.96875,3736.875,3,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,"Flavum Bullet, Lividum Bullet, Rubeum Bullet",,"Crystal Albidum, Crystal Rubeum","Crystal Prasinum, Crystal Purpureum",,
DROKOE NV-U B49-0,14802.90625,-212.5625,3839.40625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE NW-D C28-1,-1.0,-1.0,-1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,,,,,,
DROKOE NX-B C29-0,14647.15625,-326.25,4044.90625,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,OUT,Lividum Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Roseum",,,
DROKOE NZ-D D13-14,-1.0,-1.0,-1.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Shakn__Bakn,Rubeum Bullet,,"Crystal Prasinum, Crystal Purpureum",,,
DROKOE NZ-E D12-0,-1.0,-1.0,-1.0,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Shakn__Bakn,Viride Bullet,Cloud Proto,Crystal Rubeum,Crystal Rubeum,,
DROKOE OB-O B26-0,14976.0625,-102.21875,3339.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Abunazih,,,,,,
DROKOE OB-W C18-1,14656.16,-169.88,3612.94,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Lindigoticum, Crystal Prasinum",,,
DROKOE OC-C C29-1,14769.71875,-295.71875,4034.5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,Lividum Bullet,,Crystal Prasinum,,,
DROKOE OE-F D12-3,14862.0,-362.9375,3836.3125,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,Cereum Bullet,,,Crystal Purpureum,,
DROKOE OE-F D12-4,14850.96875,-355.0,3849.34375,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Nigel Prang,Cereum Bullet,,,"Crystal Purpureum, Crystal Rubeum",,
DROKOE OE-X B48-0,15017.75,-163.0625,3817.90625,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",,,
DROKOE OD-S B37-0,14905.75,-166.38,3584.25,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Albidum, Crystal Purpureum",,,
DROKOE OD-T B23-0,14658.0,-108.28,3293.28,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,Crystal Lindigoticum,Crystal Rubeum,,
DROKOE OH-M B27-0,14896.1875,-101.53125,3359.28125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Toile Rewyd,,,,,,
DROKOE OI-S E4-1,15010.65625,-218.25,3680.625,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,Nigel Prang,Cereum Bullet,,Crystal Rubeum,"Crystal Flavum, Crystal Prasinum, Crystal Rubeum",,
DROKOE OJ-O D7-6,14714.46875,-259.21875,3432.90625,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Abunazih,Cereum Bullet,,,Crystal Flavum,,Mineral Solid spheres
DROKOE OJ-O D7-8,14731.84375,-229.28125,3448.53125,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Abunazih,Cereum Bullet,,"Crystal Flavum, Crystal Lindigoticum",Crystal Purpureum,,
DROKOE OM-D C28-0,14739.59375,-379.09375,3980.71875,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nonzeb,Lividum Bullet,,"Crystal Albidum, Crystal Purpureum, Crystal Rubeum",,,
DROKOE OM-M B27-0,14935.15625,-84.875,3366.53125,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE OO-O D7-0,14848.5625,-126.78125,3429.5,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,Raf von Thorn,Cereum Bullet,,,"Crystal Prasinum, Crystal Purpureum","Crystal Prasinum, Crystal Rubeum",
DROKOE OO-O D7-9,14849.03125,-122.5,3428.59375,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,Raf von Thorn,Rubeum Bullet,,,"Crystal Prasinum, Crystal Purpureum","Crystal Flavum, Crystal Lindigoticum",
DROKOE OO-O D7-1,14838.03125,-133.8125,3434.9375,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,Lividum Bullet,,"Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",Crystal Flavum,,
DROKOE OP-I C12-0,14820.56,-144.5,3299.59,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE OP-I C12-1,14815.56,-139.88,3297.41,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE OP-R B24-0,-1.0,-1.0,-1.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Philross49,Viride Bullet,,"Crystal Flavum, Crystal Roseum",,,
DROKOE OQ-D B45-0,14707.69,-209.06,3746.47,2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,"Cereum Bullet, Lividum Bullet",,Crystal Rubeum,"Crystal Flavum, Crystal Prasinum, Crystal Purpureum",,
DROKOE OU-D D13-1,14816.34375,-262.65625,3903.59375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Toile Rewyd,,,,,,
DROKOE OU-D D13-5,-1.0,-1.0,-1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,,,,,,
DROKOE OU-D D13-6,-1.0,-1.0,-1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,,,,,,
DROKOE OU-D D13-9,-1.0,-1.0,-1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,,,,,,
DROKOE OU-I C12-2,14923.3125,-73.96875,3328.90625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE OZ-I C12-0,-1.0,-1.0,-1.0,3,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Shakn__Bakn,"Lividum Bullet, Rubeum Bullet",,"Crystal Albidum, Crystal Flavum, Crystal Lindigoticum, Crystal Roseum",,,
DROKOE OZ-O B39-0,14820.0,-140.125,3618.6875,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Purpureum, Crystal Roseum",,,
DROKOE PA-C D14-4,14630.0,-219.96875,4043.40625,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,OUT,"Cereum Bullet, Rubeum Bullet",,"Crystal Flavum, Crystal Prasinum, Crystal Purpureum, Crystal Roseum","Crystal Flavum, Crystal Purpureum",,
DROKOE PA-C D14-13,14577.0,-236.6875,4025.59375,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,OUT,"Cereum Bullet, Rubeum Bullet",,,"Crystal Flavum, Crystal Prasinum, Crystal Purpureum","Crystal Lindigoticum, Crystal Purpureum",
DROKOE PA-H C13-0,14780.91,-87.09,3342.41,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE PA-Q B38-0,15275.375,-221.9375,3595.4375,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SciberWolf,Lividum Bullet,,"Crystal Albidum, Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum",,,
DROKOE PB-W C18-2,14719.84375,-145.5625,3612.46875,3,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,ADM INFWHALE,"Cereum Bullet, Lividum Bullet",,"Crystal Lindigoticum, Crystal Roseum","Crystal Purpureum, Crystal Rubeum",Crystal Roseum,
DROKOE PC-V B35-0,14960.125,-239.125,3539.03125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Spaceballs Cadet,,,,,,
DROKOE PD-K B28-0,14774.1875,-136.78125,3393.5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE PE-F D12-0,-1.0,-1.0,-1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Lurch the Bastard,,,,,,
DROKOE PE-Q B38-0,14795.71875,-195.34375,3599.78125,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKOE PF-C D14-2,-1.0,-1.0,-1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Raf von Thorn,,,,,,
DROKOE PF-W B48-0,14836.21875,-261.71875,3818.09375,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,TUSCK,,,"Crystal Prasinum, Crystal Rubeum",,,
DROKOE PG-F D12-4,-1.0,-1.0,-1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Lurch the Bastard,,,,,,
DROKOE PG-W C18-1,14785.21875,-144.84375,3575.71875,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Toile Rewyd,,,,,,
DROKOE PH-A B47-0,14595.28125,-204.84375,3779.90625,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,ADM INFWHALE,Lividum Bullet,,Crystal Rubeum,,Crystal Rubeum,
DROKOE PK-I B29-0,15199.3125,-140.3125,3398.28125,3,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Nocturnous,"Lividum Bullet, Rubeum Bullet",,Crystal Flavum,"Crystal Flavum, Crystal Prasinum, Crystal Purpureum",,
DROKOE PK-I C12-1,14784.88,-163.94,3296.06,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE PK-O B39-0,14720.84,-203.72,3616.53,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Rubeum",,,
DROKOE PL-O C22-1,-1.0,-1.0,-1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Spaceballs Cadet,,,,,,
DROKOE PM-D C28-1,-1.0,-1.0,-1.0,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,AsteryxO,"Lividum Bullet, Viride Bullet",,"Crystal Flavum, Crystal Roseum, Crystal Rubeum",Crystal Rubeum,,
DROKOE PO-G D11-2,14929.06,-549.84,3774.56,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE PO-R B24-0,14654.44,-89.25,3302.0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Prasinum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKOE PP-X B47-0,-1.0,-1.0,-1.0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Shakn__Bakn,Lividum Bullet,Cloud Proto,"Crystal Albidum, Crystal Lindigoticum",,,
DROKOE PQ-G C13-0,14615.40625,-180.96875,3340.90625,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PHENTYN,Rubeum Bullet,,,Crystal Flavum,,
DROKOE PQ-P B25-0,15035.40625,-122.15625,3318.90625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE PR-M B27-0,15007.6875,-46.84375,3373.15625,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKOE PT-K C11-0,-1.0,-1.0,-1.0,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CrimsonSoul,Viride Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Lindigoticum, Crystal Prasinum",,,
DROKOE PU-D D13-2,14896.34375,-219.25,3951.5625,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Shakn__Bakn,Cereum Bullet,,,"Crystal Purpureum, Crystal Rubeum",,
DROKOE PU-F B44-0,14877.34375,-184.9375,3720.40625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKOE PU-I C12-2,-1.0,-1.0,-1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Guzzleguts,,,"Crystal Albidum, Crystal Flavum",,,
DROKOE PV-G C13-0,14696.97,-142.03,3335.94,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Prasinum",,,
DROKOE PW-J B55-0,14800.84375,-261.1875,3957.9375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Toile Rewyd,,,"Crystal Prasinum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKOE PW-V C18-0,14629.16,-205.88,3594.69,2,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Flavum Bullet,"Cloud Caeruleum, Cloud Viride","Crystal Prasinum, Crystal Purpureum",Crystal Flavum,,
DROKOE PY-L C10-0,-1.0,-1.0,-1.0,2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Nick Nicholson,"Cereum Bullet, Lividum Bullet",,"Crystal Prasinum, Crystal Rubeum","Crystal Purpureum, Crystal Rubeum",,
DROKOE PY-P A87-0,14527.5,-35.25,3711.0625,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PWNT,"Lividum Bullet, Viride Bullet",,"Crystal Lindigoticum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKOE PZ-I C12-0,-1.0,-1.0,-1.0,2,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,Shakn__Bakn,"Cereum Bullet, Lividum Bullet",Cloud Proto,Crystal Albidum,Crystal Rubeum,"Crystal Lindigoticum, Crystal Roseum",
DROKOE QB-N C23-2,14918.75,-197.34375,3807.65625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,BaTLeZone,,,"Crystal Prasinum, Crystal Roseum, Crystal Rubeum","Crystal Flavum, Crystal Rubeum",Crystal Prasinum,
DROKOE QC-A B47-0,14580.71875,-222.375,3775.46875,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Purpureum, Crystal Roseum",,,
DROKOE QE-O D7-1,14676.5625,-288.6875,3428.09375,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Abunazih,Cereum Bullet,Cloud Croceum,,"Crystal Purpureum, Crystal Rubeum",,
DROKOE QG-W C18-1,14817.125,-139.375,3604.96875,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,DUSKETT,Cereum Bullet,,Crystal Lindigoticum,"Crystal Purpureum, Crystal Rubeum",Crystal Flavum,
DROKOE QG-W B35-0,-1.0,-1.0,-1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKOE QG-X B21-0,-1.0,-1.0,-1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Guzzleguts,,,"Crystal Albidum, Crystal Flavum, Crystal Lindigoticum, Crystal Rubeum",,Crystal Flavum,
DROKOE QH-D C28-1,14736.90625,-418.28125,3988.90625,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Shakn__Bakn,"Lividum Bullet, Viride Bullet",Cloud Proto,"Crystal Albidum, Crystal Purpureum, Crystal Rubeum","Crystal Flavum, Crystal Purpureum, Crystal Rubeum",,
DROKOE QJ-B C16-0,15217.90625,-179.03125,3457.9375,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nocturnous,Lividum Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Lindigoticum",,,
DROKOE QJ-K C11-1,-1.0,-1.0,-1.0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Spaceballs Cadet,Lividum Bullet,,"Crystal Albidum, Crystal Lindigoticum",,,
DROKOE QJ-Q B38-0,14866.46875,-174.9375,3597.90625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKOE QK-A B20-0,15056.3125,-103.84375,3197.28125,3,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SciberWolf,"Cereum Bullet, Lividum Bullet",Cloud Viride,"Crystal Flavum, Crystal Lindigoticum, Crystal Purpureum, Crystal Roseum",,,
DROKOE QK-D D13-0,14687.0,-374.125,3906.125,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Mad Dodgers,,,,"Crystal Prasinum, Crystal Purpureum",,
DROKOE QK-D D13-1,14672.1875,-345.125,3964.65625,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Lindigoticum, Crystal Prasinum",,,
DROKOE QK-D D13-2,14674.875,-359.6875,3964.9375,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Shakn__Bakn,Lividum Bullet,Cloud Proto,Crystal Albidum,,Crystal Albidum,
DROKOE QM-D B32-0,15074.03125,-104.46875,3472.40625,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BaTLeZone,Viride Bullet,,"Crystal Albidum, Crystal Lindigoticum, Crystal Roseum, Crystal Rubeum",,,
DROKOE QM-J B42-0,14590.84375,-152.25,3691.8125,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Cereum Bullet,,Crystal Albidum,,,
DROKOE QO-O D7-10,-1.0,-1.0,-1.0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,Spaceballs Cadet,"Cereum Bullet, Rubeum Bullet",,Crystal Roseum,"Crystal Prasinum, Crystal Rubeum",,
